i,x,y,PRECIP
522,-94.638115,39.181503,33.04699
523,-96.675446,38.89505,33.04699
524,-98.70149,38.53776,33.04699
525,-100.7009,38.11212,33.04699
526,-102.6584,37.62124,33.04699
527,-104.55911,37.06884,33.04699
528,-106.38863,36.459896,33.04699
529,-108.13297,35.798756,33.04699
530,-109.778885,35.090393,33.04699
531,-111.3138,34.339157,33.04699
532,-112.72611,33.552498,33.04699
533,-114.00491,32.734776,33.04699
534,-115.14072,31.893438,33.04699
535,-116.12467,31.034082,33.04699
536,-116.94935,30.163542,33.04699
537,-117.60857,29.289272,33.04699
538,-118.09718,28.416246,33.04699
539,-118.41152,27.55254,33.04699
540,-118.5492,26.704369,33.04699
541,-118.50907,25.876701,33.04699
542,-118.291626,25.07824,33.04699
543,-117.89842,24.313953,33.04699
544,-117.33245,23.589434,33.04699
545,-116.59802,22.910896,33.04699
546,-115.70068,22.28207,33.04699
547,-114.64741,21.709785,33.04699
548,-113.44604,21.197155,33.04699
549,-112.10576,20.747282,33.04699
550,-110.63686,20.36576,33.04699
551,-109.0505,20.053833,33.04699
552,-107.35865,19.813984,33.04699
553,-105.57428,19.648697,33.04699
554,-103.71093,19.55922,33.04699
555,-101.782715,19.54493,33.04699
556,-99.80451,19.607689,33.04699
557,-97.79119,19.746254,33.04699
558,-95.75814,19.959385,33.04699
559,-93.72082,20.245836,33.04699
560,-91.69477,20.603125,33.04699
561,-89.695366,21.028763,33.04699
562,-87.737854,21.519646,33.04699
563,-85.83705,22.071424,33.04699
564,-84.00763,22.680988,33.04699
565,-82.26329,23.342129,33.04699
566,-80.61738,24.050491,33.04699
567,-79.082466,24.80173,33.04699
568,-77.67015,25.588385,33.04699
569,-76.39125,26.405489,33.04699
570,-75.25555,27.247446,33.04699
571,-74.27159,28.106802,33.04699
572,-73.446815,28.976723,33.04699
573,-72.78769,29.851612,33.04699
574,-72.29907,30.72464,33.04699
575,-71.98474,31.588345,33.04699
576,-71.84706,32.436516,33.04699
577,-67.33612,33.984352,27.288162
578,-67.59606,34.9394,27.288162
579,-68.06608,35.852818,27.288162
580,-68.74249,36.718388,27.288162
581,-69.620316,37.529896,27.288162
582,-70.69283,38.281136,27.288162
583,-71.95179,38.965263,27.288162
584,-73.38768,39.57856,27.288162
585,-74.989586,40.11542,27.288162
586,-76.74527,40.57213,27.288162
587,-78.64137,40.944954,27.288162
588,-80.66356,41.231407,27.288162
589,-82.79629,41.429,27.288162
590,-85.02337,41.5365,27.288162
591,-87.32801,41.553276,27.288162
592,-89.692444,41.47809,27.288162
593,-92.09882,41.312183,27.288162
594,-94.5288,41.05742,27.288162
595,-96.96384,40.715046,27.288162
596,-99.38546,40.288162,27.288162
597,-101.77518,39.77926,27.288162
598,-104.11485,39.192688,27.288162
599,-106.38672,38.53341,27.288162
600,-108.57332,37.805164,27.288162
601,-110.65825,37.01478,27.288162
602,-112.62549,36.16785,27.288162
603,-114.46002,35.26997,27.288162
604,-116.14804,34.329216,27.288162
605,-117.67659,33.352417,27.288162
606,-119.03404,32.34642,27.288162
607,-120.21013,31.319914,27.288162
608,-121.19586,30.279737,27.288162
609,-121.98368,29.23397,27.288162
610,-122.567665,28.190687,27.288162
611,-122.943436,27.15859,27.288162
612,-123.10794,26.14389,27.288162
613,-123.06004,25.15591,27.288162
614,-122.8002,24.201485,27.288162
615,-122.330185,23.288069,27.288162
616,-121.65367,22.421879,27.288162
617,-120.77585,21.610367,27.288162
618,-119.70343,20.85975,27.288162
619,-118.44447,20.175621,27.288162
620,-117.00858,19.562328,27.288162
621,-115.40668,19.025463,27.288162
622,-113.65099,18.568756,27.288162
623,-111.75479,18.19531,27.288162
624,-109.732704,17.909481,27.288162
625,-107.599976,17.711884,27.288162
626,-105.372795,17.603765,27.288162
627,-103.068245,17.58761,27.288162
628,-100.70382,17.662796,27.288162
629,-98.29744,17.828701,27.288162
630,-95.86746,18.083464,27.288162
631,-93.43243,18.425838,27.288162
632,-91.0108,18.852722,27.288162
633,-88.62108,19.361626,27.288162
634,-86.2814,19.9482,27.288162
635,-84.009544,20.607473,27.288162
636,-81.822845,21.335098,27.288162
637,-79.738014,22.126104,27.288162
638,-77.770775,22.973034,27.288162
639,-75.93614,23.870295,27.288162
640,-74.24822,24.811672,27.288162
641,-72.71967,25.788467,27.288162
642,-71.36221,26.794466,27.288162
643,-70.186134,27.820972,27.288162
644,-69.2004,28.861147,27.288162
645,-68.41248,29.906294,27.288162
646,-67.8285,30.949575,27.288162
647,-67.45283,31.982294,27.288162
648,-67.288315,32.996994,27.288162
649,-61.074287,34.976685,22.074747
650,-61.392673,36.146103,22.074747
651,-61.968216,37.264572,22.074747
652,-62.7968,38.325253,22.074747
653,-63.871857,39.318825,22.074747
654,-65.18541,40.239075,22.074747
655,-66.72734,41.077305,22.074747
656,-68.48591,41.827923,22.074747
657,-70.447784,42.485332,22.074747
658,-72.5981,43.04519,22.074747
659,-74.92039,43.501896,22.074747
660,-77.39697,43.85235,22.074747
661,-80.008995,44.094063,22.074747
662,-82.73667,44.225792,22.074747
663,-85.55923,44.245678,22.074747
664,-88.455055,44.153713,22.074747
665,-91.402245,43.95115,22.074747
666,-94.378395,43.639217,22.074747
667,-97.36065,43.219795,22.074747
668,-100.32656,42.69722,22.074747
669,-103.25332,42.073364,22.074747
670,-106.11883,41.355057,22.074747
671,-108.90128,40.547897,22.074747
672,-111.57935,39.656227,22.074747
673,-114.13279,38.68751,22.074747
674,-116.542175,37.650444,22.074747
675,-118.78909,36.55124,22.074747
676,-120.85644,35.399216,22.074747
677,-122.72847,34.202454,22.074747
678,-124.39107,32.970898,22.074747
679,-125.83148,31.713242,22.074747
680,-127.038734,30.43943,22.074747
681,-128.00362,29.158163,22.074747
682,-128.7189,27.881245,22.074747
683,-129.17897,26.616133,22.074747
684,-129.38055,25.374634,22.074747
685,-129.32187,24.163582,22.074747
686,-129.00359,22.994781,22.074747
687,-128.42795,21.875692,22.074747
688,-127.599464,20.815632,22.074747
689,-126.52441,19.82206,22.074747
690,-125.210846,18.90181,22.074747
691,-123.66892,18.06358,22.074747
692,-121.910355,17.312963,22.074747
693,-119.94838,16.654932,22.074747
694,-117.79816,16.095697,22.074747
695,-115.475876,15.638989,22.074747
696,-112.99929,15.288536,22.074747
697,-110.38717,15.046202,22.074747
698,-107.65949,14.914471,22.074747
699,-104.83703,14.895208,22.074747
700,-101.94111,14.98655,22.074747
701,-98.99402,15.189738,22.074747
702,-96.01787,15.501667,22.074747
703,-93.035614,15.921092,22.074747
704,-90.0697,16.443665,22.074747
705,-87.142944,17.067522,22.074747
706,-84.277336,17.785206,22.074747
707,-81.49498,18.592987,22.074747
708,-78.81681,19.484035,22.074747
709,-76.263374,20.452751,22.074747
710,-73.85408,21.490442,22.074747
711,-71.60716,22.589647,22.074747
712,-69.539825,23.74167,22.074747
713,-67.667694,24.937809,22.074747
714,-66.005196,26.169989,22.074747
715,-64.56477,27.427645,22.074747
716,-63.357525,28.701454,22.074747
717,-62.392647,29.982723,22.074747
718,-61.677353,31.25964,22.074747
719,-61.21719,32.52413,22.074747
720,-61.015697,33.76625,22.074747
721,-54.344425,36.042953,17.947426
722,-54.725563,37.442284,17.947426
723,-55.414692,38.78196,17.947426
724,-56.406612,40.052044,17.947426
725,-57.693707,41.24135,17.947426
